iter	Passed	Remaining
689	1493	670
690	1494	668
691	1496	666
692	1498	663
693	1500	661
694	1502	659
695	1504	657
696	1506	654
697	1508	652
698	1509	650
699	1511	647
700	1513	645
701	1515	643
702	1517	641
703	1519	638
704	1522	636
705	1523	634
706	1525	632
707	1527	630
708	1529	627
709	1531	625
710	1533	623
711	1534	620
712	1536	618
713	1538	616
714	1540	613
715	1541	611
716	1543	609
717	1545	607
718	1547	604
719	1549	602
720	1551	600
721	1553	598
722	1555	595
723	1557	593
724	1559	591
725	1560	589
726	1562	586
727	1564	584
728	1566	582
729	1568	579
730	1569	577
731	1571	575
732	1573	573
733	1575	570
734	1577	568
735	1579	566
736	1580	564
737	1582	561
738	1584	559
739	1586	557
740	1587	555
741	1589	552
742	1591	550
743	1593	548
744	1595	546
745	1597	543
746	1598	541
747	1601	539
748	1602	537
749	1604	534
750	1606	532
751	1608	530
752	1609	528
753	1611	525
754	1613	523
755	1615	521
756	1617	519
757	1619	516
758	1621	514
759	1622	512
760	1624	510
761	1626	507
762	1628	505
763	1629	503
764	1631	501
765	1633	499
766	1635	496
767	1637	494
768	1639	492
769	1641	490
770	1642	487
771	1644	485
772	1646	483
773	1648	481
774	1650	479
775	1652	477
776	1654	474
777	1656	472
778	1658	470
779	1660	468
780	1662	466
781	1664	463
782	1665	461
783	1667	459
784	1669	457
785	1671	454
786	1672	452
787	1674	450
788	1676	448
789	1678	446
790	1680	444
791	1682	441
792	1684	439
793	1686	437
794	1688	435
795	1690	433
796	1692	431
797	1694	428
798	1695	426
799	1697	424
800	1699	422
801	1701	419
802	1702	417
803	1704	415
804	1706	413
805	1708	411
806	1710	409
807	1712	406
808	1714	404
809	1715	402
810	1717	400
811	1719	398
812	1721	395
813	1722	393
814	1724	391
815	1726	389
816	1728	387
817	1730	384
818	1732	382
819	1733	380
820	1735	378
821	1737	376
822	1739	374
823	1740	371
824	1742	369
825	1744	367
826	1746	365
827	1748	363
828	1750	360
829	1751	358
830	1753	356
831	1755	354
832	1757	352
833	1759	350
834	1761	348
835	1762	345
836	1764	343
837	1766	341
838	1768	339
839	1770	337
840	1771	334
841	1773	332
842	1775	330
843	1776	328
844	1778	326
845	1780	324
846	1782	321
847	1784	319
848	1786	317
849	1787	315
850	1789	313
851	1791	311
852	1793	309
853	1794	306
854	1796	304
855	1798	302
856	1800	300
857	1802	298
858	1804	296
859	1805	293
860	1807	291
861	1809	289
862	1811	287
863	1813	285
864	1814	283
865	1816	281
866	1818	279
867	1820	276
868	1822	274
869	1824	272
870	1826	270
871	1827	268
872	1829	266
873	1831	263
874	1833	261
875	1835	259
876	1836	257
877	1838	255
878	1840	253
879	1842	251
880	1844	249
881	1846	246
882	1848	244
883	1849	242
884	1852	240
885	1854	238
886	1856	236
887	1858	234
888	1860	232
889	1862	230
890	1864	228
891	1866	225
892	1868	223
893	1870	221
894	1871	219
895	1873	217
896	1876	215
897	1878	213
898	1880	211
899	1883	209
900	1885	207
901	1887	205
902	1889	202
903	1891	200
904	1893	198
905	1895	196
906	1897	194
907	1898	192
908	1900	190
909	1902	188
910	1904	186
911	1906	183
912	1908	181
913	1910	179
914	1911	177
915	1913	175
916	1915	173
917	1917	171
918	1919	169
919	1921	167
920	1923	164
921	1925	162
922	1927	160
923	1929	158
924	1931	156
925	1933	154
926	1935	152
927	1937	150
928	1939	148
929	1941	146
930	1943	144
931	1945	141
932	1947	139
933	1949	137
934	1951	135
935	1953	133
936	1956	131
937	1958	129
938	1960	127
939	1962	125
940	1964	123
941	1966	121
942	1968	118
943	1970	116
944	1972	114
945	1974	112
946	1975	110
947	1977	108
948	1980	106
949	1982	104
950	1984	102
951	1986	100
952	1988	98
953	1990	95
954	1993	93
955	1995	91
956	1997	89
957	1999	87
958	2001	85
959	2003	83
960	2005	81
961	2008	79
962	2010	77
963	2012	75
964	2014	73
965	2016	70
966	2018	68
967	2020	66
968	2022	64
969	2024	62
970	2027	60
971	2029	58
972	2031	56
973	2034	54
974	2036	52
975	2038	50
976	2040	48
977	2042	45
978	2044	43
979	2046	41
980	2048	39
981	2050	37
982	2052	35
983	2054	33
984	2056	31
985	2058	29
986	2060	27
987	2062	25
988	2064	22
989	2066	20
990	2068	18
991	2070	16
992	2072	14
993	2074	12
994	2077	10
995	2078	8
996	2080	6
997	2082	4
998	2084	2
999	2086	0
